"y_total_m_ha";"hoursWorkUsual";"age";"sex";"oficio";"relab";"college";"ocu";"clase";"cotPension";"cuentaPropia";"depto";"directorio";"dominio";"dsi";"estrato1";"formal";"fweight";"inac";"informal";"maxEducLevel";"mes";"pea";"pet";"sizeFirm";"wap";"regSalud";"age2";"ln_wage"
"1";8425.92578125;48;51;1;98;2;0;1;1;1;0;11;4772481;"BOGOTA";0;3;1;241;0;0;7;11;1;1;5;1;1;2601;9.03906863419848
"2";23333.333984375;60;53;0;21;4;0;1;1;1;1;11;4772481;"BOGOTA";0;3;1;241;0;0;7;11;1;1;1;1;1;2809;10.0576382602652
"3";9722.22265625;48;23;0;19;4;0;1;1;1;1;11;4772481;"BOGOTA";0;3;1;241;0;0;7;11;1;1;4;1;1;529;9.18216953965234
"4";10833.580078125;45;51;0;3;1;0;1;1;1;0;11;4772482;"BOGOTA";0;3;1;243;0;0;7;11;1;1;5;1;1;2601;9.29040585583265
"5";5862.67236328125;60;49;1;98;1;0;1;1;1;0;11;4772482;"BOGOTA";0;3;1;243;0;0;7;11;1;1;5;1;1;2401;8.67636081330848
"6";4767.93994140625;48;42;1;97;1;1;1;1;1;0;11;4772484;"BOGOTA";0;3;1;298;0;0;6;11;1;1;5;1;1;1764;8.46966961248428
"7";3797.7041015625;48;54;1;45;1;0;1;1;1;0;11;4772486;"BOGOTA";0;3;1;301;0;0;5;11;1;1;2;1;1;2916;8.24215197932255
"8";4834.146484375;48;28;1;45;1;1;1;1;1;0;11;4772486;"BOGOTA";0;3;1;301;0;0;6;11;1;1;5;1;1;784;8.48345986373666
"9";4226.5078125;48;29;0;45;1;1;1;1;1;0;11;4772486;"BOGOTA";0;3;1;301;0;0;6;11;1;1;2;1;1;841;8.34913135482344
"10";7899.3056640625;48;28;1;33;1;0;1;1;1;0;11;4772487;"BOGOTA";0;3;1;208;0;0;7;11;1;1;5;1;1;784;8.97453014396751
"11";6846.06494140625;48;27;0;3;1;0;1;1;1;0;11;4772487;"BOGOTA";0;3;1;208;0;0;7;11;1;1;5;1;1;729;8.83142930508169
"12";31597.220703125;40;30;1;12;1;0;1;1;1;0;11;4772488;"BOGOTA";0;3;1;228;0;0;7;11;1;1;5;1;1;900;10.3608244432742
"13";17500;40;29;0;16;4;0;1;1;1;1;11;4772488;"BOGOTA";0;3;1;228;0;0;7;11;1;1;5;1;1;841;9.76995615991161
"14";4226.5078125;48;30;1;33;1;1;1;1;1;0;11;4772489;"BOGOTA";0;2;1;278;0;0;6;11;1;1;5;1;1;900;8.34913135482344
"15";7291.66650390625;48;32;0;19;1;0;1;1;1;0;11;4772491;"BOGOTA";0;2;1;282;0;0;7;11;1;1;5;1;1;1024;8.89448740023628
"16";7466.66650390625;25;34;1;97;4;1;1;1;2;1;11;4772492;"BOGOTA";0;3;0;132;0;1;6;11;1;1;1;1;1;1156;8.91820392737675
"17";4641.7666015625;48;25;1;98;1;0;1;1;1;0;11;4772492;"BOGOTA";0;3;1;132;0;0;7;11;1;1;4;1;1;625;8.44285030585521
"18";2651.51513671875;66;28;1;98;4;1;1;1;2;1;11;4772493;"BOGOTA";0;2;0;295;0;1;6;11;1;1;2;1;3;784;7.88288650529887
"19";291.666656494141;20;27;0;54;4;1;1;1;2;1;11;4772493;"BOGOTA";0;2;0;295;0;1;6;11;1;1;1;1;3;729;5.67561156281227
"20";10111.111328125;48;35;1;5;1;0;1;1;1;0;11;4772500;"BOGOTA";0;3;1;199;0;0;7;11;1;1;5;1;1;1225;9.22139022962568
"21";16090.27734375;48;32;1;45;1;0;1;1;1;0;11;4772500;"BOGOTA";0;3;1;199;0;0;7;11;1;1;5;1;1;1024;9.68597047686398
"22";3510.83569335938;60;25;1;83;1;1;1;1;1;0;11;4772501;"BOGOTA";0;2;1;314;0;0;6;11;1;1;3;1;1;625;8.16360937739733
"23";4226.5078125;48;28;0;45;1;1;1;1;1;0;11;4772501;"BOGOTA";0;2;1;314;0;0;6;11;1;1;4;1;1;784;8.34913135482344
"24";5185.18505859375;54;31;1;95;1;0;1;1;1;0;11;4772502;"BOGOTA";0;2;1;347;0;0;5;11;1;1;2;1;1;961;8.55356081117305
"25";2833.33325195312;9;35;0;54;3;1;1;1;2;0;11;4772502;"BOGOTA";0;2;0;347;0;1;6;11;1;1;1;1;3;1225;7.94920912508787
"26";2592.59252929688;72;26;0;33;1;1;1;1;1;0;11;4772502;"BOGOTA";0;2;1;347;0;0;6;11;1;1;3;1;1;676;7.86041363061311
"27";68055.5625;48;46;0;12;1;0;1;1;1;0;11;4772504;"BOGOTA";0;5;1;241;0;0;7;11;1;1;5;1;1;2116;11.1280797461056
"28";73726.8515625;48;56;0;2;1;0;1;1;1;0;11;4772505;"BOGOTA";0;5;1;215;0;0;7;11;1;1;5;1;1;3136;11.2081223478137
"29";23333.333984375;10;27;0;45;5;0;1;1;2;0;11;4772505;"BOGOTA";0;5;0;215;0;1;7;11;1;1;2;1;1;729;10.0576382602652
"30";23333.333984375;10;23;0;41;4;0;1;1;2;1;11;4772505;"BOGOTA";0;5;0;215;0;1;7;11;1;1;2;1;1;529;10.0576382602652
"31";2333.33325195312;60;48;1;45;4;0;1;1;2;1;11;4772506;"BOGOTA";0;2;0;263;0;1;3;11;1;1;1;1;3;2304;7.75505310449211
